Id,CustomerName,Sku,Quantity,UnitPrice,OrderDate,Status
1,Alice,Widget-A,2,50.00,2024-01-05,Pending
2,Bob,Gadget-B,1,75.00,2024-01-10,Completed
3,Charlie,Widget-A,5,50.00,2024-01-15,Pending
4,Diana,Widget-C,3,40.00,2024-01-15,Completed
5,Eric,Gadget-B,4,75.00,2024-01-20,Pending
6,Fatima,Widget-A,6,50.00,2024-01-22,Completed
7,George,Widget-C,2,40.00,2024-01-25,Pending
8,Helen,Gadget-D,7,90.00,2024-01-28,Completed
9,Ibrahim,Widget-A,1,50.00,2024-02-01,Pending
10,Julia,Gadget-B,8,75.00,2024-02-03,Completed
11,Khalid,Widget-C,10,40.00,2024-02-05,Pending
12,Linda,Gadget-D,2,90.00,2024-02-07,Completed
13,Mohammed,Widget-A,9,50.00,2024-02-10,Completed
14,Nora,Gadget-B,3,75.00,2024-02-12,Pending
15,Omar,Widget-C,5,40.00,2024-02-15,Completed
